card,0,17,18,19,20,21
A,13.87728543,0.71007984,15.07215569,15.07978044,15.07570858,40.01532934
2,35.7937525,11.36810379,14.0162475,13.4954491,12.90469062,12.3239521
3,37.88101796,11.05457086,13.5194012,13.02121756,12.52237525,11.97546906
4,39.92700599,10.7494012,13.05187625,12.61457086,12.10538922,11.59766467
5,41.97313373,10.73966068,12.56275449,12.08766467,11.63167665,11.12287425
6,44.33612774,7.584431138,12.40091816,12.39780439,11.95762475,11.51271457
7,26.32856287,36.04798403,14.00510978,8.105389222,8.111157685,7.663273453
8,24.57808383,12.11654691,36.13706587,13.0950499,7.183353293,7.223233533
9,22.97091816,11.35183633,12.2303992,35.25642715,12.25461078,6.340998004
10,21.35558882,10.55223553,11.37932136,11.37512974,34.42844311,11.38632735
J,21.34015968,10.60600798,11.37321357,11.38506986,34.43654691,11.40790419
Q,21.35870259,10.57924152,11.39377246,11.39750499,34.46792415,11.42361277
K,21.40800399,10.62431138,11.40225549,11.42057884,34.43031936,11.40714571
