sum1,A,2,3,4,5,6,7,8,9,10,J,Q,K
57,23.9,39.57,41.32,41.39,42.44,43.37,40.18,38,34.43,30.63,30.61,31.36,30.79
58,23.15,37.02,37.8,38.41,39.08,39.69,38.12,36.06,33.13,29.97,29.45,30.05,29.53
59,21.02,33.93,35.14,36.31,35.46,35.71,35.66,33.74,31.32,27.69,27.59,27.57,27.34
510,20.14,30.21,31.79,32.97,32.58,32.98,33.54,31.41,29.28,26.13,25.38,26.32,26.01
5J,20.3,30.98,31.64,32.43,33.24,32.98,34.74,31.46,29.01,25.97,26.19,26.38,25.32
5Q,20.15,31.8,32.36,32.35,33.48,32.83,34.33,32.26,28.66,26.5,26.61,26.19,26.3
5K,20.41,31.08,32.33,31.85,33.01,33.13,33.62,32.65,28.8,25.85,26.33,25.98,25.94
6A,28.72,54.05,54.92,56.85,58.14,59.22,56.19,47.68,45.1,39.38,39.87,40.14,40.16
62,19.73,45.12,46.55,48.33,50.17,51.6,44.58,40.75,31.56,29.76,28.99,28.85,28.38
63,24.66,50.56,51.82,53.52,56.59,57.05,50.21,47.67,43.76,33.39,33.88,34.23,33.88
64,32.31,57.36,59.03,60.79,62.29,63.1,57.62,55.69,51.83,48.02,47.1,47.12,47.48
65,47.81,65.5,67.66,67.75,69.24,69.62,65.58,62.29,59.08,56.33,55.14,55.56,56.12
66,24.17,39.36,40.08,41.31,42.85,43.24,40.27,37.51,34.63,30.98,31.88,29.9,31.05
67,23.14,36.56,38.3,37.83,39.18,39.47,38.57,35.89,32.45,29.57,29.98,29.27,29.49
68,21.72,34.56,34.15,35.94,35.88,36.49,36.75,32.92,30.79,27.14,27.17,28.49,27.29
69,20.44,31.27,32.1,31.74,32.15,33.24,33.78,31.59,29.39,26.42,26.37,26.6,25.93
610,19.51,28.87,28.82,28.63,29.05,29.95,32.16,30.84,26.77,24.49,23.18,24.79,24.01
6J,18.99,28.92,29.51,28.95,29.03,30.29,31.7,30.21,27.53,25.07,24.03,24.09,24.76
6Q,18.83,29.52,29.09,29.1,29.7,29.34,32.1,30.03,26.53,24.98,23.94,24.82,24.68
6K,19.57,28.97,28.67,29.85,29.67,30.01,32.4,30.21,27.61,24.17,23.98,23.77,24.83
7A,31.53,56.48,57.87,59.05,60.74,61.1,59.85,56.96,47.09,42.49,43.02,42.85,42.53
72,24.78,50.53,52.98,53.5,55.63,56.35,51.18,48.49,44.56,34.12,34.01,35.45,33.48
73,31.51,58.12,58.81,60.54,61.87,63.29,57.4,55.8,51.99,47.1,47.83,47.65,48.19
74,46.94,65.05,67.04,67.73,68.93,70.48,65.2,61.58,60.18,56.13,55.6,55.45,56.51
75,23.26,39.64,39.85,42.6,42.25,44.2,40.39,38.56,34.25,30.64,31.66,31.68,30.97
76,22.93,37.37,38.06,38.44,39.83,39.7,38.37,35.35,32,28.71,30.35,29.39,29.82
77,21.21,34.43,34.64,35.97,36.57,36.76,34.55,33.88,31.82,28.51,27.73,27.82,28.26
78,19.93,31.8,31.76,31.95,33.52,33.02,33.39,32.26,28.67,26.18,26.75,26.55,26.61
79,18.6,28.35,29.25,28.88,29.89,29.79,32.31,30.13,27.7,24.46,24.9,24.51,24.4
710,18.13,24.22,24.94,25.08,25.66,25.91,27.6,27.53,24.27,22.18,21.91,21.69,22.46
7J,17.62,25.03,25.52,25.3,26.31,25.5,26.34,26.82,24.58,21.74,22.16,21.88,21.99
7Q,18.16,24.9,25.14,25.82,26.07,26.13,27.88,26.41,24.48,22.09,22.12,22.41,22.03
7K,18.2,25.35,25.02,25.87,26.25,25.6,25.81,27.38,25.61,22,22.52,21.96,22.13
8A,35.41,59.62,61.27,62.75,63.51,64.93,61.74,59.72,55.33,45.58,45.28,44.86,44.08
82,31.63,57.56,58.96,60.24,61.52,64.14,58.18,55.16,52.6,47.56,46.85,47.18,47.31
83,47.59,65.29,66.82,68.72,69.84,70.16,65.39,62.44,59.31,55.3,55.84,55.05,56.95
84,24.52,40.78,40.39,41.56,42.67,43.58,39.56,37.23,34.42,30.89,31.3,31.2,31.73
85,22.89,37.54,37.89,38.97,38.91,41.12,37.99,35.56,34.03,29.16,29.56,29.57,29.95
86,21.87,34.5,34.46,35.55,37.33,36.19,37.06,33.6,30.52,27.76,27.3,26.88,27.8
87,19.51,30.82,31.55,32.71,32.67,33.58,34.52,33.09,29.29,26.48,26.35,26.27,25.77
88,18.95,28.36,28.93,28.62,29.84,30.31,31.47,29.39,26.87,24.54,24.82,24.03,25.11
89,18.46,24.99,25.17,25.2,25.15,26.14,27.29,26.87,24.12,22.55,22.04,21.98,21.77
810,16.29,19.82,20.13,20.07,20.43,19.9,21.18,21.92,21.44,18.86,18.75,18.5,18.69
8J,16.49,19.83,20.55,20.88,20.76,19.28,21,21.86,20.69,18.63,18.88,19.22,18.46
8Q,16.03,20.17,20.67,20.94,20.51,20.85,21.44,21.22,21.03,19.37,19.32,19.52,19.06
8K,15.52,20.56,20.29,19.97,20.74,20.28,21.5,21.64,21.83,18.89,18.73,18.84,18.71
9A,38.01,63.32,63.68,65.36,67.06,68.4,63.19,60.32,59.34,52.31,52.81,53.62,53.18
92,47.95,65.32,66.98,67.81,69.25,69.45,65.49,62.05,59.08,56.32,55.13,54.91,55.58
93,24.19,39.65,40.37,42.52,42.11,44.3,40.57,36.9,34.29,30.44,31.59,31.02,31.04
94,22.55,37.37,38.6,38.42,39.14,39.88,37.6,35.9,32.85,29.87,30.11,29.83,29.15
95,22.23,34.7,34.59,36.17,36.26,36.41,36.35,33.18,31.04,27.78,27.6,28.21,27.05
96,20.27,31.24,31.47,32.08,32.93,32.78,33.46,31.6,29.44,25.97,26.41,26.08,25.87
97,18.99,28.22,28.02,29.47,29.54,29.9,31.85,30.4,27.75,25.11,24.86,24.49,24.28
98,18.38,24.88,24.88,25.21,25.88,25.41,27.83,26.71,25.71,22.04,22.13,23.18,22.33
99,15.89,20.28,20.42,20.84,20.66,20.69,21.32,20.74,21.9,18.2,18.45,18.96,18.93
910,11.76,15.45,14.56,14.31,14.56,14.96,15.03,15.44,15.36,15.1,14.47,14.3,14.91
9J,12.31,13.94,14.34,14.41,14.58,14.67,15.27,14.99,14.22,14.28,14.78,14.93,14.64
9Q,12.28,14.44,14.67,15.08,14.19,14.85,14.58,15.14,15.18,14.47,14.33,14.92,14.29
9K,12.55,14.39,14.18,14.77,14.86,14.7,14.43,14.4,14.28,14.39,14.8,14.77,14.22
10A,48.21,64.99,67.54,68.71,68.71,70.4,66.18,62.58,58.61,54.98,55.94,55.71,54.84
102,23.19,40.52,40.77,41.29,42.49,43.12,39.31,37.79,35.04,30.18,30.66,30.74,30.33
103,22.12,37.39,38.19,38.73,39.09,39.76,37.49,34.94,33.05,30.27,29.81,29.51,29.77
104,21.7,34.56,33.53,35.7,36.45,36.77,36.79,34.19,31.18,28.17,28.36,27.04,27.8
105,20.9,31.57,31.83,32.14,32.7,33.01,34.17,31.76,29.85,26.28,26.55,25.52,26.45
106,19.53,28.82,29.23,29.09,29.13,29.42,32.08,29.87,27.6,24.61,24.52,23.98,24.21
107,17.75,25.03,25.45,25.35,24.81,25.01,27.99,27.87,24.8,22.34,21.73,21.51,22.34
108,15.41,20.79,20.5,20.7,20.02,20.52,20.78,21.75,20.78,18.44,18.73,18.85,18.57
109,12.72,14.59,14.34,14.38,14.71,14.99,13.96,14.86,15.27,14.32,14.43,14.44,15.65
1010,7.74,7.8,7.75,7.65,7.66,7.82,7.36,7.77,7.63,7.75,7.64,7.23,7.61
10J,7.51,7.46,7.85,7.47,8.11,7.75,7.96,7.97,7.7,7.78,8.07,7.41,8.09
10Q,7.56,7.39,7.55,7.54,7.97,7.7,7.38,7.55,7.74,7.87,7.73,7.68,7.89
10K,7.48,7.36,7.82,7.43,8.01,7.87,7.74,7.67,7.87,7.58,7.97,7.46,7.92
JA,47.96,66.6,66.55,67.55,69.01,70.27,65.6,62.93,58.07,56.04,55.75,55.34,54.96
J2,22.82,40.18,40.75,42.65,41.76,44.16,39.98,38.24,34.97,30.86,31.21,31.53,31.4
J3,23,37.46,37.21,37.87,39.27,40.26,37.78,35.92,33.83,29.31,28.8,29.22,29.19
J4,22.47,35.28,34.46,35.64,36.84,37.28,35.08,34.02,30.72,27.63,26.82,27.22,28.34
J5,20.5,32.12,32.74,33.31,32.32,32.67,34.29,32.57,29.51,26.3,25.83,26.29,25.49
J6,18.59,29.42,29.64,29.23,29.73,29.74,32.12,29.89,27.26,23.96,24.34,24.76,24.94
J7,16.96,24.98,25.4,24.81,25.08,25.37,26.85,27.52,25.17,22.43,22.34,21.7,22.24
J8,15.45,19.66,20.33,20.57,20.56,20.68,21.29,22.17,21.69,18.93,18.52,18.7,18.98
J9,12.41,14.61,14.89,14.02,14.37,14.63,14.82,14.89,14.91,14,14.64,14.4,14.52
J10,7.69,8.42,8.13,7.46,7.88,7.4,8.13,7.29,7.63,7.3,7.44,7.44,7.76
JJ,7.68,7.74,7.41,8.02,7.78,7.53,8.05,7.57,7.71,7.74,7.69,7.93,7.67
JQ,8,7.28,7.27,7.41,7.51,7.87,7.75,7.13,7.55,7.57,7.85,7.66,7.91
JK,7.65,7.75,7.32,7.75,7.86,7.99,7.67,7.69,7.78,8.2,7.68,7.96,7.72
QA,48.3,65.58,65.31,68.36,68.67,69.45,65.43,62.7,59.24,55.55,56.38,55.55,55.68
Q2,24.5,39.87,40.19,41.6,43.09,43.95,40.27,36.91,35.1,31.18,30.33,30.89,31.65
Q3,23.43,36.24,37.67,39.02,39.98,40.01,38.04,36.16,33.23,28.92,29.53,29.17,29.19
Q4,21.16,34.72,34.72,36.04,35.73,37.32,36.18,34.53,30.54,27.98,27.02,27.4,27.39
